"service_id","date","exception_type"
"1_1_20250801","20250811","2"
"1_3_20250801","20250811","1"
"1_1_20250801","20250813","2"
"1_2_20250801","20250813","1"
"1_1_20250801","20250814","2"
"1_2_20250801","20250814","1"
"1_11_20250801","20250815","2"
"1_2_20250801","20250815","1"
"1_1_20250801","20250915","2"
"1_3_20250801","20250915","1"
"1_1_20250801","20250923","2"
"1_3_20250801","20250923","1"
"1_1_20251001","20251013","2"
"1_3_20251001","20251013","1"
"1_1_20251001","20251103","2"
"1_3_20251001","20251103","1"
"1_1_20251001","20251124","2"
"1_3_20251001","20251124","1"
