"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","platform_code"
"100001_1",,"市役所前（熊本）",,"32.803623","130.70784","100001_1",,"0",,,,
"100001_2",,"市役所前（熊本）",,"32.803333","130.7071","100001_2",,"0",,,,
"100002_1",,"桜町バスターミナル",,"32.800438","130.70398","100002_1",,"0",,,,"1"
"100002_2",,"桜町バスターミナル",,"32.79996","130.70389","100002_2",,"0",,,,"2"
"100002_4",,"桜町バスターミナル",,"32.80017","130.70398","100002_4",,"0",,,,"4"
"100002_9",,"桜町バスターミナル",,"32.800587","130.70398","100002_9",,"0",,,,"9"
"100002_13",,"桜町バスターミナル",,"32.800835","130.70335","100002_13",,"0",,,,"13"
"100002_24",,"桜町バスターミナル",,"32.800514","130.70355","100002_24",,"0",,,,"24"
"100002_25",,"桜町バスターミナル",,"32.80044","130.70357","100002_25",,"0",,,,"25"
"100002_29",,"桜町バスターミナル",,"32.800106","130.70348","100002_29",,"0",,,,"29"
"100003_1",,"通町筋",,"32.802666","130.71098","100003_1",,"0",,,,
"100003_2",,"通町筋",,"32.803043","130.71161","100003_2",,"0",,,,
"100004_1",,"水道町",,"32.801884","130.71382","100004_1",,"0",,,,"1"
"100004_2",,"水道町",,"32.80209","130.71408","100004_2",,"0",,,,"2"
"100004_3",,"水道町",,"32.80219","130.71373","100004_3",,"0",,,,"3"
"100005_1",,"新市街",,"32.797897","130.70547","100005_1",,"0",,,,
"100005_2",,"新市街",,"32.797993","130.7057","100005_2",,"0",,,,
"100006_1",,"本荘中通り",,"32.794212","130.70837","100006_1",,"0",,,,
"100006_3",,"本荘中通り",,"32.79347","130.70941","100006_3",,"0",,,,
"100007_1",,"本荘町",,"32.79233","130.7099","100007_1",,"0",,,,
"100007_2",,"本荘町",,"32.792385","130.71013","100007_2",,"0",,,,
"100008_1",,"春竹町",,"32.790134","130.71036","100008_1",,"0",,,,
"100008_2",,"春竹町",,"32.790134","130.71062","100008_2",,"0",,,,
"100009_1",,"春竹新道",,"32.788567","130.71065","100009_1",,"0",,,,
"100009_2",,"春竹新道",,"32.788704","130.71086","100009_2",,"0",,,,
"100010_1",,"南熊本",,"32.78631","130.71106","100010_1",,"0",,,,
"100010_2",,"南熊本",,"32.786015","130.71136","100010_2",,"0",,,,
"100011_1",,"萩原（熊本）",,"32.78248","130.70953","100011_1",,"0",,,,
"100011_2",,"萩原（熊本）",,"32.782337","130.7097","100011_2",,"0",,,,
"100012_1",,"ガス会社前",,"32.78004","130.71016","100012_1",,"0",,,,
"100012_2",,"ガス会社前",,"32.77924","130.71048","100012_2",,"0",,,,
"100013_1",,"田迎一里木",,"32.774662","130.71306","100013_1",,"0",,,,
"100013_2",,"田迎一里木",,"32.77454","130.71297","100013_2",,"0",,,,
"100014_1",,"出仲間（旧浜線）",,"32.771458","130.71474","100014_1",,"0",,,,
"100014_2",,"出仲間（旧浜線）",,"32.771175","130.71518","100014_2",,"0",,,,
"100015_1",,"田迎小学校前",,"32.769157","130.71814","100015_1",,"0",,,,
"100015_2",,"田迎小学校前",,"32.769226","130.71825","100015_2",,"0",,,,
"100016_1",,"田迎（旧浜線）",,"32.765404","130.7195","100016_1",,"0",,,,
"100016_2",,"田迎（旧浜線）",,"32.76487","130.71962","100016_2",,"0",,,,
"100017_1",,"下乙（熊本）",,"32.762478","130.72014","100017_1",,"0",,,,
"100017_2",,"下乙（熊本）",,"32.761654","130.7211","100017_2",,"0",,,,
"100018_1",,"良町",,"32.75805","130.72424","100018_1",,"0",,,,
"100018_2",,"良町",,"32.757576","130.72464","100018_2",,"0",,,,
"100019_1",,"中の瀬車庫",,"32.75262","130.73041","100019_1",,"0",,,,
"100019_2",,"中の瀬車庫",,"32.752834","130.7303","100019_2",,"0",,,,
