"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id"
"1_1313_2_20250801","1_1_20250801","1_1172_20250801","通潤山荘",,,,,,,"1"
"1_1313_2_20250801","1_1_20250801","1_1173_20250801","通潤山荘",,,,,,,"1"
"1_1313_2_20250801","1_1_20250801","1_1174_20250801","通潤山荘",,,,,,,"1"
"1_1313_2_20250801","1_1_20250801","1_1175_20250801","通潤山荘",,,,,,,"1"
"1_1313_2_20250801","1_1_20250801","1_1176_20250801","通潤山荘",,,,,,,"1"
"1_1313_2_20250801","1_1_20250801","1_1177_20250801","通潤山荘",,,,,,,"1"
"1_1313_2_20250801","1_1_20250801","1_1178_20250801","通潤山荘",,,,,,,"1"
"1_1313_2_20250801","1_2_20250801","2_549_20250801","通潤山荘",,,,,,,"1"
"1_1313_2_20250801","1_2_20250801","2_383_20250801","通潤山荘",,,,,,,"1"
"1_1313_2_20250801","1_2_20250801","2_384_20250801","通潤山荘",,,,,,,"1"
"1_1313_2_20250801","1_2_20250801","2_385_20250801","通潤山荘",,,,,,,"1"
"1_1313_2_20250801","1_2_20250801","2_386_20250801","通潤山荘",,,,,,,"1"
"1_1313_2_20250801","1_2_20250801","2_387_20250801","通潤山荘",,,,,,,"1"
"1_1313_2_20250801","1_2_20250801","2_556_20250801","通潤山荘",,,,,,,"1"
"1_1313_2_20250801","1_3_20250801","3_1723_20250801","通潤山荘",,,,,,,"1"
"1_1313_2_20250801","1_3_20250801","3_1545_20250801","通潤山荘",,,,,,,"1"
"1_1313_2_20250801","1_3_20250801","3_1546_20250801","通潤山荘",,,,,,,"1"
"1_1313_2_20250801","1_3_20250801","3_1547_20250801","通潤山荘",,,,,,,"1"
"1_1313_2_20250801","1_3_20250801","3_1548_20250801","通潤山荘",,,,,,,"1"
"1_1313_2_20250801","1_3_20250801","3_1549_20250801","通潤山荘",,,,,,,"1"
"1_1313_2_20250801","1_11_20250801","11_1_20250801","通潤山荘",,,,,,,"1"
"1_1313_2_20250801","1_11_20250801","11_2_20250801","通潤山荘",,,,,,,"1"
"1_1313_2_20250801","1_11_20250801","11_3_20250801","通潤山荘",,,,,,,"1"
"1_1313_2_20250801","1_11_20250801","11_4_20250801","通潤山荘",,,,,,,"1"
"1_1313_2_20250801","1_11_20250801","11_5_20250801","通潤山荘",,,,,,,"1"
"1_1313_2_20250801","1_11_20250801","11_6_20250801","通潤山荘",,,,,,,"1"
"1_1313_2_20250801","1_11_20250801","11_7_20250801","通潤山荘",,,,,,,"1"
"1_1314_1_20250801","1_1_20250801","1_1179_20250801","桜町バスターミナル",,,,,,,"1"
"1_1314_1_20250801","1_1_20250801","1_1180_20250801","桜町バスターミナル",,,,,,,"1"
"1_1314_1_20250801","1_1_20250801","1_1181_20250801","桜町バスターミナル",,,,,,,"1"
"1_1314_1_20250801","1_1_20250801","1_1182_20250801","桜町バスターミナル",,,,,,,"1"
"1_1314_1_20250801","1_1_20250801","1_1183_20250801","桜町バスターミナル",,,,,,,"1"
"1_1314_1_20250801","1_1_20250801","1_1184_20250801","桜町バスターミナル",,,,,,,"1"
"1_1314_1_20250801","1_1_20250801","1_1185_20250801","桜町バスターミナル",,,,,,,"1"
"1_1314_1_20250801","1_2_20250801","2_377_20250801","桜町バスターミナル",,,,,,,"1"
"1_1314_1_20250801","1_2_20250801","2_378_20250801","桜町バスターミナル",,,,,,,"1"
"1_1314_1_20250801","1_2_20250801","2_576_20250801","桜町バスターミナル",,,,,,,"1"
"1_1314_1_20250801","1_2_20250801","2_379_20250801","桜町バスターミナル",,,,,,,"1"
"1_1314_1_20250801","1_2_20250801","2_380_20250801","桜町バスターミナル",,,,,,,"1"
"1_1314_1_20250801","1_2_20250801","2_381_20250801","桜町バスターミナル",,,,,,,"1"
"1_1314_1_20250801","1_2_20250801","2_382_20250801","桜町バスターミナル",,,,,,,"1"
"1_1314_1_20250801","1_3_20250801","3_1540_20250801","桜町バスターミナル",,,,,,,"1"
"1_1314_1_20250801","1_3_20250801","3_1541_20250801","桜町バスターミナル",,,,,,,"1"
"1_1314_1_20250801","1_3_20250801","3_1542_20250801","桜町バスターミナル",,,,,,,"1"
"1_1314_1_20250801","1_3_20250801","3_1543_20250801","桜町バスターミナル",,,,,,,"1"
"1_1314_1_20250801","1_3_20250801","3_1544_20250801","桜町バスターミナル",,,,,,,"1"
"1_1314_1_20250801","1_11_20250801","11_8_20250801","桜町バスターミナル",,,,,,,"1"
"1_1314_1_20250801","1_11_20250801","11_9_20250801","桜町バスターミナル",,,,,,,"1"
"1_1314_1_20250801","1_11_20250801","11_10_20250801","桜町バスターミナル",,,,,,,"1"
"1_1314_1_20250801","1_11_20250801","11_11_20250801","桜町バスターミナル",,,,,,,"1"
"1_1314_1_20250801","1_11_20250801","11_12_20250801","桜町バスターミナル",,,,,,,"1"
"1_1314_1_20250801","1_11_20250801","11_13_20250801","桜町バスターミナル",,,,,,,"1"
"1_1314_1_20250801","1_11_20250801","11_14_20250801","桜町バスターミナル",,,,,,,"1"
"2_2061_2_20250801","1_1_20250801","1_1186_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_1_20250801","1_1187_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_1_20250801","1_1505_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_1_20250801","1_1188_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_1_20250801","1_1508_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_1_20250801","1_1189_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_2_20250801","2_400_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_2_20250801","2_401_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_2_20250801","2_591_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_2_20250801","2_685_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_2_20250801","2_403_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_2_20250801","2_402_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_2_20250801","2_404_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_3_20250801","3_1561_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_3_20250801","3_1560_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_3_20250801","3_1562_20250801","甲佐",,,,,,,"1"
